20161009-02-28-49 | ItsLoginResult:0, session:{352D6A04-F8C2-4391-A212-DAC3A3F1EF13}
09/10/16 02:29:30 | ItsLoginResult:0, ItsGetDate:2016/10/09 02:29:25, Cantidad:0
09/10/16 02:29:39 | ItsLoginResult:0, ItsGetDate:2016/10/09 02:29:35, Cantidad:2
09/10/16 02:30:14 | ItsLoginResult:0, ItsGetDate:2016/10/09 02:30:11, Cantidad:0
09/10/16 02:30:28 | ItsLoginResult:0, ItsGetDate:2016/10/09 02:30:24, Cantidad:40
09/10/16 02:31:53 | ItsLoginResult:0, id:5
09/10/16 02:32:40 | El correo fue enviado de manera existosa a lcondori@itris.com.ar
09/10/16 02:33:12 | ItsLoginResult:0, Cantidad:1
09/10/16 02:33:23 | ItsLoginResult:0, Cantidad:1
09/10/16 02:20:33 | ItsLoginResult:0, Cantidad:1
09/10/16 10:44:49 | ItsLoginResult:0, ItsGetDate:2016/10/09 10:44:42, Cantidad:0
09/10/16 10:45:16 | ItsLoginResult:0, ItsGetDate:2016/10/09 10:45:12, Cantidad:2
09/10/16 10:45:24 | ItsLoginResult:0, ItsGetDate:2016/10/09 10:45:20, Cantidad:0
09/10/16 10:45:38 | ItsLoginResult:0, ItsGetDate:2016/10/09 10:45:34, Cantidad:40
09/10/16 11:03:31 | El correo fue enviado de manera existosa a lcondori@itris.com.ar
09/10/16 22:24:22 | El correo fue enviado de manera existosa a lcondori@itris.com.ar
09/10/16 22:24:26 | El correo fue enviado de manera existosa a lcondori@itris.com.ar
09/10/16 22:51:31 | ItsLoginResult:0, session:{42C72EFB-8BB9-4B60-B539-09F1E74D2101}
09/10/16 22:51:43 | ItsLoginResult:0, ItsGetDate:2016/10/09 22:51:40, Cantidad:2
09/10/16 22:51:51 | ItsLoginResult:0, ItsGetDate:2016/10/09 22:51:48, Cantidad:40
09/10/16 22:53:11 | El correo fue enviado de manera existosa a lcondori@itris.com.ar
11/10/16 09:51:39 | ItsLoginResult:0, session:{CA15F23A-F9F3-4CF1-BF8B-6811721165A4}
11/10/16 09:51:54 | ItsLoginResult:0, session:{CBC5A6D8-F89B-4AB9-AAF8-83AF9244954C}
11/10/16 09:56:55 | El correo fue enviado de manera existosa a gorelia@itris.com.ar
11/10/16 10:04:33 | ItsLoginResult:0, session:{6C66E2E5-424B-4801-B2D7-FAF93F038B32}
11/10/16 10:07:49 | ItsLoginResult:0, session:{C9773576-814A-4F45-8965-48B6CC6737FF}
11/10/16 10:08:19 | ItsLoginResult:0, session:{9517203D-127C-4A87-A4E7-8B868D671E5B}
11/10/16 10:09:01 | ItsLoginResult:0, ItsGetDate:2016/10/11 10:08:53, Cantidad:2
11/10/16 10:12:22 | ItsLoginResult:0, ItsGetDate:2016/10/11 10:12:18, Cantidad:2
11/10/16 10:14:56 | ItsLoginResult:0, ItsGetDate:2016/10/11 10:14:53, Cantidad:40
11/10/16 10:15:49 | ItsLoginResult:0, ItsGetDate:2016/10/11 10:15:42, Cantidad:40
11/10/16 10:23:22 | ItsLoginResult:0, Cantidad:1
11/10/16 11:05:25 | ItsLoginResult:0, session:{1577A5D1-1915-454B-BDBF-C3A494C95149}
11/10/16 11:39:59 | ItsLoginResult:0, ItsGetDate:2016/10/11 11:39:55, Cantidad:40
11/10/16 12:00:16 | ItsLoginResult:0, session:{E0D29132-6FE2-491F-903F-D3F9919AC09C}
11/10/16 12:03:55 | ItsLoginResult:0, ItsGetDate:2016/10/11 12:03:51, Cantidad:2
11/10/16 15:37:44 | ItsLoginResult:0, session:{CBC7800D-FE75-4C76-ADB0-31BAC2BF9F95}
11/10/16 15:56:37 | ItsLoginResult:0, id:987
11/10/16 17:16:32 | ItsLoginResult:0, session:{58747318-7BA2-4965-B074-7B8F8BC4AD43}
11/10/16 17:19:58 | ItsLoginResult:0, session:{511A810C-4601-4062-B1D1-1802B8F943D6}
11/10/16 17:19:59 | ItsLoginResult:0, session:{7B8B6612-B8AC-47F6-9F9E-C56A011B6630}
11/10/16 17:20:00 | ItsLoginResult:0, session:{326B464E-F3E0-4A56-95E4-473D22F3982B}
11/10/16 17:23:44 | ItsLoginResult:0, session:{B4F77A26-B0CE-40CD-BB8A-B7A621E45FBA}
11/10/16 17:23:51 | ItsLoginResult:0, session:{46952809-C996-43CF-8F09-619471BFFEB1}
11/10/16 17:25:24 | ItsLoginResult:0, session:{E74C358F-5793-4B1E-9C1E-A70E2DC21C73}
11/10/16 17:26:24 | ItsLoginResult:0, session:{58FD09A3-104C-4019-BDBA-98829498041F}
11/10/16 17:27:17 | ItsLoginResult:0, session:{6E7DE60B-7BDD-4F4F-BCA0-0A0C12565542}
11/10/16 17:14:51 | ItsLoginResult:0, session:{B2E50A01-479B-4C76-93B0-C2714B9CC42A}
11/10/16 17:36:16 | ItsLoginResult:0, session:{6A79A8CB-51DB-4320-B957-A5A46F36B318}
11/10/16 17:37:40 | ItsLoginResult:0, session:{5ED51303-B164-4D53-A9B7-302CFDF7AC6F}
12/10/16 17:28:15 | ItsLoginResult:0, session:{C2801940-50C2-4B9E-9EAF-759A650C9E46}
12/10/16 17:28:19 | ItsLoginResult:0, session:{1A5A9034-6B5E-4945-925F-E41E7EBF1E01}
12/10/16 17:28:22 | ItsLoginResult:0, session:{407631FF-C9A5-4F2A-8C96-1C66123D236D}
12/10/16 17:28:24 | ItsLoginResult:0, session:{B2D6ACE6-8A5C-4309-9F12-8B794E8E8695}
12/10/16 17:28:25 | ItsLoginResult:0, session:{DF68BA66-63F5-4D75-BC60-E776A4CB5D8C}
12/10/16 17:28:28 | ItsLoginResult:0, session:{C8413B48-89F6-4908-B9DE-D22151104BC4}
12/10/16 17:28:29 | ItsLoginResult:0, session:{342534DC-E0C5-4394-B250-8BBD1FDD9298}
12/10/16 17:28:33 | ItsLoginResult:0, session:{0555CFC8-9C93-4F4F-B057-7C0BEED3FF01}
12/10/16 17:28:34 | ItsLoginResult:0, session:{24417E8F-1F02-47A5-A773-D47F61F369AA}
12/10/16 17:28:35 | ItsLoginResult:0, session:{E88726E6-69BB-4C08-B09C-47CDCF4EC83F}
12/10/16 17:28:36 | ItsLoginResult:0, session:{C1EE2D9D-9429-4A83-AB7B-828D2755F39A}
12/10/16 17:29:51 | ItsLoginResult:0, session:{B177D40B-3DE6-4AE8-A183-1813D1392DE6}
12/10/16 17:29:59 | ItsLoginResult:0, session:{2833F08F-FD29-4CD0-95D6-DD57F6BDC21B}
12/10/16 17:30:02 | ItsLoginResult:0, session:{BFF4BD78-F5E8-40D9-922E-F1BE0041E50D}
12/10/16 17:30:07 | ItsLoginResult:0, session:{4BE12349-590B-4935-BA20-8CEE3BDFFC17}
12/10/16 17:30:23 | ItsLoginResult:0, session:{EEBA6A06-A1F5-4726-9108-68F85AC8C5CA}
12/10/16 17:30:29 | ItsLoginResult:0, session:{A7BE7041-6941-4745-B798-58E9E3C21059}
12/10/16 17:34:45 | ItsLoginResult:0, session:{84DF999A-E449-476A-8D2D-9815CBEB5E05}
12/10/16 17:44:24 | ItsLoginResult:0, session:{BE0DAAB3-786A-4BCE-8A68-33A861DC8E3E}
12/10/16 17:48:42 | ItsLoginResult:0, session:{C5B64CA8-0629-43FB-9B55-A2C17C707BBE}
12/10/16 17:49:03 | ItsLoginResult:0, session:{651D4CA8-9DCE-48DB-B8EF-C8DE68717FA4}
12/10/16 17:49:39 | ItsLoginResult:0, session:{4F191441-BFF1-4C2C-851C-CDADC50BCA52}
12/10/16 17:50:01 | ItsLoginResult:0, session:{C15E5D35-3F8F-4B6B-8551-37B6F8847768}
12/10/16 17:50:09 | ItsLoginResult:0, session:{9956E172-C8D8-43A2-A9DD-E39E21132C8B}
12/10/16 17:50:15 | ItsLoginResult:0, session:{F57D513B-9C72-468C-A9E2-1A464AFDFFC7}
12/10/16 17:50:49 | ItsLoginResult:0, session:{25816A18-8471-437D-9561-AAC95F0F186C}
12/10/16 17:51:09 | ItsLoginResult:0, session:{91C9A035-A416-4A61-B392-773C2EBD4364}
12/10/16 17:52:16 | ItsLoginResult:0, session:{FF9DD9FA-E588-475C-8BD6-FFF2E4490446}
12/10/16 17:52:39 | ItsLoginResult:0, session:{1A84E93D-1C1B-4ABD-927F-CD3983D7B7B3}
12/10/16 17:53:12 | ItsLoginResult:0, session:{97D48548-A4BB-4697-86D1-234FE2498F40}
12/10/16 17:53:26 | ItsLoginResult:0, session:{02D66086-091F-4A61-9210-287401523E8A}
12/10/16 17:55:14 | ItsLoginResult:0, session:{9000C50F-0D22-4AA9-9E24-4DFB5AC63013}
12/10/16 17:55:24 | ItsLoginResult:0, session:{BB35B245-5C7C-4F33-8D43-D4434A176697}
12/10/16 17:55:47 | ItsLoginResult:0, session:{B8F9D450-800C-40AE-88CA-39C287D3D53E}
12/10/16 17:56:50 | ItsLoginResult:0, session:{5D8F568C-ADCA-4A3D-B54B-CC91AE6C9131}
12/10/16 17:43:57 | ItsLoginResult:0, session:{209CE78C-D91D-4553-832D-13012BA90128}
12/10/16 23:51:01 | ItsLoginResult:0, session:{4D50495F-7AB1-4566-8707-0F3607372274}
12/10/16 23:51:03 | ItsLoginResult:0, session:{60578D31-22C4-4CFE-847C-C6482586FA9C}
12/10/16 23:51:05 | ItsLoginResult:0, session:{2834D678-D500-476E-BF25-C9768FB23B2C}
12/10/16 23:51:06 | ItsLoginResult:0, session:{8B9691D9-DF78-46F3-B492-F0E8E00C378E}
12/10/16 23:51:07 | ItsLoginResult:0, session:{F8528056-5769-4422-9861-E1E52D17BABF}
13/10/16 10:04:11 | ItsLoginResult:0, ItsGetDate:2016/10/13 10:04:00, Cantidad:2
13/10/16 10:30:28 | ItsLoginResult:0, ItsGetDate:2016/10/13 10:30:23, Cantidad:40
13/10/16 10:39:54 | ItsLoginResult:0, id:987
13/10/16 10:49:44 | ItsLoginResult:0, Cantidad:1
13/10/16 10:55:33 | El correo fue enviado de manera existosa a facupico@gmailcom
13/10/16 10:56:09 | El correo fue enviado de manera existosa a facupico@gmail
13/10/16 10:56:26 | El correo fue enviado de manera existosa a facupico@gmeil
13/10/16 10:56:42 | El correo fue enviado de manera existosa a facupico@abcd
13/10/16 10:56:55 | El correo fue enviado de manera existosa a facupico@78
13/10/16 10:57:24 | El correo fue enviado de manera existosa a facupico@aa
13/10/16 14:35:22 | ItsLoginResult:0, session:{B8F3AFFF-07FC-4EB4-9D97-8E33616F19FB}
13/10/16 14:37:29 | ItsLoginResult:0, session:{D5B65983-8FDB-4548-B5D2-0C3CC79228E7}
13/10/16 14:38:03 | ItsLoginResult:0, session:{9E281C1A-78FE-4803-A4EE-057CC9FB9E6D}
13/10/16 14:40:28 | ItsLoginResult:0, session:{E8040586-3817-4757-9634-78BAF493BF78}
13/10/16 14:41:09 | ItsLoginResult:0, session:{FC685E69-8EF4-4CA2-90DD-B9CDF7997881}
13/10/16 14:41:13 | ItsLoginResult:0, session:{EAF5BA7F-963A-4D3A-9D43-F47BBF23FC61}
13/10/16 14:41:26 | ItsLoginResult:0, session:{453F9C40-B298-4701-A5F3-B1B53E9F183E}
13/10/16 14:41:31 | ItsLoginResult:0, session:{1474E922-2219-4571-A7F3-F8B551214A03}
13/10/16 14:42:11 | ItsLoginResult:0, session:{74A5D8B1-D6FB-4BFA-A4F8-AE9ED3DF4BCE}
13/10/16 14:44:44 | ItsLoginResult:0, session:{821A8184-617B-45C6-9454-92E1C7496605}
13/10/16 14:44:54 | ItsLoginResult:0, session:{F59CD0EE-1836-43D1-B5AF-E3C8BC28D7B0}
13/10/16 14:34:00 | ItsLoginResult:0, session:{B5EEACB8-1C18-4F7D-B335-6474AF5F3B99}
13/10/16 14:47:21 | ItsLoginResult:0, session:{66E82571-A51A-4F0C-9EB2-3100BAAB1CCE}
13/10/16 14:48:06 | ItsLoginResult:0, session:{0A7F4D13-E485-48FB-B997-C118EB82FCF4}
13/10/16 14:49:03 | ItsLoginResult:0, session:{EE0C5152-A40F-4228-964D-E4DD0DF8BFF8}
13/10/16 15:09:03 | ItsLoginResult:0, session:{F141BEC2-8FAC-4E34-9E58-FD41091652FA}
13/10/16 15:52:14 | ItsLoginResult:0, session:{6548D9B7-DE3A-49D7-82D4-A14DAD502C62}
13/10/16 15:52:15 | ItsLoginResult:0, session:{B2270AB8-40F9-488D-AC72-89B016493032}
13/10/16 15:52:19 | ItsLoginResult:0, session:{4249B500-CA6B-4B85-ADB1-21395218D18D}
13/10/16 15:54:00 | ItsLoginResult:0, session:{002FB088-EBC3-4CBA-A6A0-109249E4FA1A}
13/10/16 15:42:21 | ItsLoginResult:0, session:{52A7BC93-457A-49FB-98E0-987774DA75D6}
13/10/16 15:56:26 | ItsLoginResult:0, session:{A0C7DF6F-10DC-4964-99F7-A7E388084E34}
